ingredient_name,time_stamp,product_title,price,unit,measure,unit_price,badage_rocket,url,image
통마늘,2024-08-01 20:11:31,"국내산 통마늘, 1kg, 1개",8990,100,g,899,로켓배송,https://www.coupang.com/vp/products/4778058371?itemId=6106220612&vendorItemId=73402571305,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69717142730412-7076db93-62fd-46be-9a2b-436bef0d42be.jpg
통삼겹살,2024-08-01 20:11:32,"냉동 삼겹살 돼지고기 통삼겹 원육 5kg, 1개, 삼겹살 원육 랜덤발송",53500,100,g,1070,,https://www.coupang.com/vp/products/6398611459?itemId=13673390795&vendorItemId=80803260245,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cbe1/4a7fa7f117bf52066f1d94376c7d65aa6acd73d53939098fbbe6fba05d36.jpg
통후추,2024-08-01 20:11:34,"푸른빈 통 흑후추, 600g, 1개",10900,10,g,182,,https://www.coupang.com/vp/products/274010252?itemId=864492829&vendorItemId=76822641689,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/db93/aebc097b29bba2ac24144f13171fc36a9ebf862e70eebeeb5c288eeae427.jpg
통후추 ,2024-08-01 20:11:34,"푸른빈 통 흑후추, 600g, 1개",10900,10,g,182,,https://www.coupang.com/vp/products/274010252?itemId=864492829&vendorItemId=76822641689,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/db93/aebc097b29bba2ac24144f13171fc36a9ebf862e70eebeeb5c288eeae427.jpg
파,2024-08-01 20:11:36,"흙대파, 1kg, 6개",20950,100,g,349,로켓배송,https://www.coupang.com/vp/products/6528172171?itemId=19223677870&vendorItemId=86340363494,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/463b68f0-5317-4fd5-b7a9-b7ed7b78e708512557346673727302.png
파 흰대,2024-08-01 20:11:37,"곰곰 국내산 절단대파, 1kg, 1개",5000,100,g,500,로켓배송,https://www.coupang.com/vp/products/5125076034?itemId=5680983034&vendorItemId=72979873793,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4687795846505328-12ad7d4e-ee22-4c30-9116-e11581963ee5.jpg
파프리카,2024-08-01 20:11:38,"[무료배송]제이네식탁 국내산 홍파프리카 5kg, 1박스",17900,100,g,358,,https://www.coupang.com/vp/products/8238434851?itemId=23711128315&vendorItemId=85870034452,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/16a9/49b67ef49ffea2ede7ba1989bc62d90b80b1fc5766d92b1b1b76b700bd5c.jpeg
팽이버섯,2024-08-01 20:11:39,"팽이버섯 새벽경매 한박스 5kg 34봉 대용량, 팽이버섯 (17봉) 2.5kg 내외, 17개",11000,100,g,13,,https://www.coupang.com/vp/products/8180368644?itemId=22599028926&vendorItemId=89640696256,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ebfb/6206821b7b7a25bdca3682addcfed314eec7546b053c509ec4909565bd48.jpg
편마늘,2024-08-01 20:11:40,"곰곰 국내산 저민마늘, 200g, 1봉",4490,10,g,225,로켓배송,https://www.coupang.com/vp/products/4778058767?itemId=6106221351&vendorItemId=73402571973,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/69605583088721-949ebaed-a7d8-46f0-950a-616e6d65f1ed.jpg
포도씨유,2024-08-01 20:11:41,"해표 포도씨유, 900ml, 5개",31250,100,ml,694,로켓배송,https://www.coupang.com/vp/products/7851799885?itemId=21403262727&vendorItemId=88459857189,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3500274592523146-513874f2-9f94-4d72-a388-081c5db7ec6e.jpg
표고버섯,2024-08-01 20:11:43,"못생겨도 맛있는 표고버섯, 500g, 1개",5990,100,g,1198,로켓배송,https://www.coupang.com/vp/products/6685293178?itemId=15430783161&vendorItemId=82650468916,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3735002313794384-da6dec06-b162-4c1e-8623-97fec49a3a92.jpg
풋고추,2024-08-01 20:11:44,"클릭마켓 특품 오이고추 아삭이고추 풋고추, 1개, 10kg",39800,100,g,398,,https://www.coupang.com/vp/products/8211402445?itemId=23571423508&vendorItemId=90597369561,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/07df/96d388d9de75c830ae3a2b7980c9001f6551daeadbc0926547a05b9c5fc2.jpg
피망,2024-08-01 20:11:45,"못생겨도 맛있는 피망, 2개입, 1개",1630,1,개,815,로켓배송,https://www.coupang.com/vp/products/6653956838?itemId=15255605853&vendorItemId=82476264641,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024778181996957-88de6113-33e4-4572-9f94-1d90c93358bd.jpg
홍고추,2024-08-01 20:11:46,"국내산 홍고추 10kg, 1개",39800,100,g,398,,https://www.coupang.com/vp/products/6659550520?itemId=15282794683&vendorItemId=82503281334,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fb76/8f582aad8976ad77dbc484d7f1c858686f8cdd599ef24305265d3e7dbfd0.jpg
홍초,2024-08-01 20:11:47,"청정원 홍초 100% 자연발효초 사용 석류, 1.8L, 2개",19440,10,ml,54,로켓배송,https://www.coupang.com/vp/products/6650747515?itemId=18040164237&vendorItemId=85194504874,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/d269cb36-2838-47e3-bc79-f2aabc48c2d14285980625193835649.png
홍피망,2024-08-01 20:11:48,"청피망 국내산 피망 특품 1kg 2kg 5kg 10kg, 청피망 특품 1kg, 1개",8000,100,g,80,,https://www.coupang.com/vp/products/8106201198?itemId=22946925907&vendorItemId=89981231048,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/635a/560457926a2564a0642c6ebb57aff9bc6f6ffcb880432b1f175638ebc2bc.jpeg
황설탕,2024-08-01 20:11:50,"백설 갈색설탕, 3kg, 4개",20970,100,g,175,,https://www.coupang.com/vp/products/8243840004?itemId=17905189012&vendorItemId=85513035408,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3e4d/9dbf16bc42c105efd6d3b271d1f78eec8e4029f85560de5be8e507532e37.jpg
후추,2024-08-01 20:11:51,"청은 신 후추, 1kg, 1개",10200,10,g,102,로켓배송,https://www.coupang.com/vp/products/63429835?itemId=218606737&vendorItemId=3528456968,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/02/06/12/9/b39a8342-0013-402d-99b8-e79d74fcb210.jpg
후추가루,2024-08-01 20:11:52,"청은 신 후추, 1kg, 1개",10200,10,g,102,로켓배송,https://www.coupang.com/vp/products/63429835?itemId=218606737&vendorItemId=3528456968,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/02/06/12/9/b39a8342-0013-402d-99b8-e79d74fcb210.jpg
후춧가루,2024-08-01 20:11:53,"오뚜기 순후추, 450g, 1개",11200,10,g,249,,https://www.coupang.com/vp/products/7989358358?itemId=21983829994&vendorItemId=89031431425,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2cdb/04bf94c542ebde2f5ff5db637e4e3408ea233f29ce1a36cebe8aef6b0009.jpg
